,Rn_V_myTSEB,Rn_S_myTSEB,LE_V_myTSEB,LE_S_myTSEB,H_V_myTSEB,H_S_myTSEB,G_myTSEB,Trad_V_myTSEB,Trad_S_myTSEB
5170,242.7256813141364,416.88590371221295,24.014648728826984,279.2211649374289,218.71103258530943,-2.095747674851405,139.76048644963544,293.1020202636719,291.357981889848
5171,417.4855382567322,-47.70711934170167,0.0009722857073484192,-280.2329854696619,417.48456597102484,249.22308448285966,-16.6972183548994,303.8683166503906,313.6487338890376
5172,57.07938214493031,85.73614729608616,0.0,-101.38035950797396,57.07938214493031,157.10885525042997,30.007651553630154,304.2586975097656,314.21921667908134
5173,314.3768845545926,323.1273693680132,0.0,-161.48839398943525,314.3768845545926,371.52118407864384,113.09457927880462,302.141357421875,306.58022123958364
5174,12.823418441346309,118.86136278915484,0.0,-260.44900391403587,12.823418441346309,337.7088897269865,41.60147697620419,299.508056640625,306.2411683428401
5175,297.1774008967067,168.6151246271831,111.47965757160108,149.41482919408986,185.6977433251056,-36.39579185287395,55.59608728596717,284.5237121582031,282.7638185302387
5176,392.6248272265513,54.93861885406878,0.0,-116.97159997833737,392.6248272265513,152.68170223348207,19.22851659892407,295.32879638671875,302.87518617684964
5177,109.2039635294982,191.81618297257614,5.01235667493026,95.9749727829174,104.19160685456794,30.779566563852782,65.06164362580596,293.7113342285156,293.2674195175217
5178,167.01124067055085,-23.70690411173419,0.0004465815658249994,-255.44406254184872,167.01079408898502,240.03448466541613,-8.297326235301584,307.58575439453125,314.6669559207508
5179,87.09539816881586,67.56024472118645,0.0,-226.71713066948752,87.09539816881586,270.6312897382587,23.646085652415255,314.1933288574219,317.81707955680787
5180,394.81604962206444,265.43669672890434,317.9672786335285,25.06662159207491,76.84877098853593,150.1150636778201,90.25501145900934,304.8954772949219,309.44965698798813
5181,530.6013029995905,64.0623923329042,0.0,-160.92279644673735,530.6013029995905,202.5633514631251,22.421837316516466,299.0484619140625,304.8937788299829
5182,34.96692368131724,2.4706977687015304,0.00047194697026498034,-1.9627270773346406,34.966451734346975,3.56857422726315,0.864850618773021,312.29217529296875,312.36414548566563
5183,43.583337130952174,682.5957400919284,-30.39364491269211,469.74670435784435,73.97698204364428,-14.216183452663454,227.06521918674756,323.1333923339844,313.7217732830767
5184,487.00588139645913,188.35716830512501,0.0,-165.53527736403893,487.00588139645913,287.9674367623702,65.92500890679375,292.2279968261719,298.96918519623654
5185,53.20168628736445,-55.15691991917922,0.00038473581503239984,-272.1412836853811,53.20130155154942,236.28920940019788,-19.30484563399598,297.5926208496094,305.3529654604108
5186,295.6795299109135,267.2968771580582,0.0,-471.36553236242185,295.6795299109135,645.1085025151597,93.55390700532035,309.5140075683594,320.68874313222415
5187,339.4597848025661,280.5183013387965,98.38083864372462,299.19636536555794,241.0789461588415,-97.2574175556337,78.57935352887226,292.0437927246094,282.60362659531654
5188,64.17659001704388,506.72920452109025,4.620102240416301,147.63799324321604,59.55648777662758,182.863899722933,176.2273115549412,298.2840881347656,298.52584671573607
5189,148.11830477603118,-60.211252131560656,0.0,-316.20284310329475,148.11830477603118,277.0655292177803,-21.07393824604623,288.10504150390625,301.2262787171269
5190,188.4719374296527,-76.91420179996462,0.0,-246.044106176137,188.4719374296527,196.04987500616002,-26.919970629987613,299.932373046875,310.8594055721019
5191,187.1501679834932,4.130858589156304,0.0006425164720553767,-647.5342805320602,187.14952546702114,650.2189929473072,1.4461461739092114,299.4058837890625,313.9250469314217
